#F 02_03_setup.dat
#E 1454539891
#D Wed Feb 03 16:51:31 2016
#C Setup with new A stage  User = usaxs
#H0  SR_current  SR_fill  SR_status  SR_mode  SR_fb  SR_fbH  SR_fbV  SR_topUp  barometer_mbar
#H1  SR_BPM_HP  SR_BPM_VP  SR_BPM_HA  SR_BPM_VA  ID_gap  ID_E  ID_harmonic  ID_taperGap  ID_taperE
#H2  FE_XBPM_HP  FE_XBPM_VP  FE_XBPM_HA  FE_XBPM_VA
#H3  DCM_energy  DCM_lambda  UND_energy  UND_tracking  UND_offset  mrEnc  arEnc
#H4  mrCenter  arCenter  msrCenter  asrCenter  Scan_Al_Filter  Scan_Ti_Filter
#H5  I0AmpGain  I00AmpGain
#H6  UPD2mode  UPD2range  UPD2vfc  UPD2gain  UPD2selected  UPDsize
#H7  UPD2gain1  UPD2bkg1  UPD2bkgErr1
#H8  UPD2gain2  UPD2bkg2  UPD2bkgErr2
#H9  UPD2gain3  UPD2bkg3  UPD2bkgErr3
#H10  UPD2gain4  UPD2bkg4  UPD2bkgErr4
#H11  UPD2gain5  UPD2bkg5  UPD2bkgErr5
#H12  thickness  ARenc_0  SAD  SDD  CCD_DX  CCD_DY
#H13  DIODE_DX  DIODE_DY  UATERM  sampleYstep
#H14  USAXSPinT_Measure  USAXSPinT_AyPosition  USAXSPinT_Time  USAXSPinT_pinCounts  USAXSPinT_pinGain  USAXSPinT_I0Counts  USAXSPinT_I0Gain

#O0 unused0  mx  my  WAXS_X  ax  un5  az  unused7
#O1 msx  msy  ART50-100  asy  ion_ch  tcam  cam_y  cam_focus
#O2 sx  sy  dx  un19  uslitvercen  uslithorcen  uslitverap  uslithorap
#O3 pin_x  pin_z  GSlit_outb  GSlit_inb  GSlit_top  GSlit_bot  unused30  pin_y
#O4 USAXS.a2rp  USAXS.m2rp  USAXS.asrp  USAXS.msrp  mr  unused37  mst  ast
#O5 msr  asr  unused42  unused43  ar  ay  dy  un47
#O6 un48  un49  un50  un51  un52  en  
#o0 un0 mx my waxsx ax un5 az un7
#o1 msx msy art asy ion_ch tcam camy camf
#o2 sx sy dx un19 uslvcen uslhcen uslvap uslhap
#o3 pin_x pin_z gslout gslinb gsltop gslbot un30 pin_y
#o4 a2rp m2rp asrp msrp mr un37 mst ast
#o5 msr asr un42 un43 ar ay dy un47
#o6 un48 un49 un50 un51 un52 en 

#J0 seconds  I0  I00  USAXS_PD  TR_diode  
#j0 sec I0 I00 upd2 trd 

#C Wed Feb 03 16:51:38 2016.  do ./usaxs.mac.
#C Wed Feb 03 16:51:38 2016.  do USAXS_conf.mac.
#C Wed Feb 03 16:51:38 2016.  do ./USAXS_user_macros.mac.
#C Wed Feb 03 16:51:38 2016.  do ~/spec/macros/local/usaxs_startscan.mac.
#C Wed Feb 03 16:51:40 2016.  USAXS I0 dark current range 5 = 983 +/- 19.5576 c/s.
#C Wed Feb 03 16:51:40 2016.  USAXS I00 dark current range 5 = 1959 +/- 26.0768 c/s.
#C Wed Feb 03 16:51:40 2016.  USAXS TRD dark current range 5 = 5 +/- 0 c/s.
#C Wed Feb 03 16:51:41 2016.  USAXS I0 dark current range 4 = 5 +/- 0 c/s.
#C Wed Feb 03 16:51:41 2016.  USAXS I00 dark current range 4 = 1800 +/- 0 c/s.
#C Wed Feb 03 16:51:41 2016.  USAXS TRD dark current range 4 = 5 +/- 0 c/s.
#C Wed Feb 03 16:51:42 2016.  USAXS I0 dark current range 3 = 83 +/- 8.3666 c/s.
#C Wed Feb 03 16:51:42 2016.  USAXS I00 dark current range 3 = 1789 +/- 2.23607 c/s.
#C Wed Feb 03 16:51:42 2016.  USAXS TRD dark current range 3 = 5 +/- 0 c/s.
#C Wed Feb 03 16:51:44 2016.  USAXS I0 dark current range 2 = 5 +/- 0 c/s.
#C Wed Feb 03 16:51:44 2016.  USAXS I00 dark current range 2 = 1786 +/- 5.47723 c/s.
#C Wed Feb 03 16:51:44 2016.  USAXS TRD dark current range 2 = 5 +/- 0 c/s.
#C Wed Feb 03 16:51:45 2016.  USAXS I0 dark current range 1 = 130 +/- 0 c/s.
#C Wed Feb 03 16:51:45 2016.  USAXS I00 dark current range 1 = 1792 +/- 4.47214 c/s.
#C Wed Feb 03 16:51:45 2016.  USAXS TRD dark current range 1 = 5 +/- 0 c/s.
#C Wed Feb 03 16:51:48 2016.  USAXS upd2 FemtoPD dark current range 5 = 5 +/- 0 c/s.
#C Wed Feb 03 16:51:50 2016.  USAXS upd2 FemtoPD dark current range 4 = 5 +/- 0 c/s.
#C Wed Feb 03 16:51:51 2016.  USAXS upd2 FemtoPD dark current range 3 = 5 +/- 0 c/s.
#C Wed Feb 03 16:51:52 2016.  USAXS upd2 FemtoPD dark current range 2 = 5 +/- 0 c/s.
#C Wed Feb 03 16:51:54 2016.  USAXS upd2 FemtoPD dark current range 1 = 5 +/- 0 c/s.
#C Wed Feb 03 16:51:54 2016.  Runing preUSAXStune since it was requested on start of the measurements. .
#C Wed Feb 03 16:51:54 2016.  Moving USAXS slits and guard slits to correct place.
#C Wed Feb 03 16:51:59 2016.  Ready for USAXS mode.
#C Wed Feb 03 16:52:00 2016.  Moving USAXS slits and guard slits to correct place.
#C Wed Feb 03 16:52:01 2016.  tuning USAXS motor mr.

#S 1  ascan  mr 10.3467 10.3426  30 0.1
#D Wed Feb 03 16:52:03 2016
#T 0.1  (seconds)
#G0 0
#G1 0
#G3 0
#G4 0
#Q 
#P0 -22.29064 20 -3.90625e-05 -4 -48 -0.1 210 17.075
#P1 5.894899e-07 5.00006 -22.7 6.93867 0 -35 -1.2485 -0.407
#P2 12.5 0 67.53375 26.355 7.4e-05 8e-06 0.8001865 1.499983
#P3 -0.001041 30.00124 1.1 -1.1 0.6 -0.6 0.000245 260
#P4 3.5425 6.795 7.7025 5.005 10.34465 0 0 0
#P5 7.6 17.17188 -8.67896 -0.351 10.318091 0 18.475664 0
#P6 0 0 0 0 0 18 
#C tuning USAXS motor mr
#V0 102.23 0 1 0 1 1 1 1 981.665
#V1 -0.0201432 0.110706 28.0838 11.7067 0 0 0 0.000854549 0.00175667
#V2 1.83571 -2.97314 -111.148 153.235
#V3 18 0.688801 18.1723 1 0.2 10.4046 10.318091
#V4 10.3446 10.3181 5.00486 7.70323 0 0
#V5 10000000 1000000000
#V6 0 0 100000 1.0e+04 1 5.5
#V7 1.0e+04 5 0
#V8 1.0e+06 5 0
#V9 1.0e+08 5 0
#V10 1.0e+10 5 0
#V11 1.0e+12 5 0
#V12 1 10.3181 207 880 0 35.81
#V13 67.5337 18.4757 1 
#V14 1 9.64929 3 2999962 1000000000 2193185 10000000
#N 18
#L mr    ay  dy  ar_enc  pd_range  pd_counts  pd_rate  pd_curent  I0_gain  I00_gain  Und_E  Epoch  seconds  I00  USAXS_PD  TR_diode  I0  I0
10.34665  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 33.037 0.1 199 2 1 114 114
10.34652  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 33.294 0.1 198 2 1 139 139
10.34638  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 33.553 0.1 198 2 1 181 181
10.34625  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 33.952 0.1 198 2 1 274 274
10.34612  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 34.222 0.1 198 2 1 403 403
10.34598  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 34.511 0.1 198 2 1 630 630
10.34585  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 34.771 0.1 198 2 1 1264 1264
10.34572  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 35.183 0.1 196 6 1 7063 7063
10.34558  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172309 35.449 0.1 191 14 1 17162 17162
10.34545  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172309 35.712 0.1 187 28 1 28659 28659
10.34532  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 36.120 0.1 182 67 4033 40658 40658
10.34518  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 36.367 0.1 173 1354 12399 60249 60249
10.34505  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 36.624 0.1 165 10944 16860 71102 71102
10.34492  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 36.908 0.1 159 23955 19029 76316 76316
10.34478  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172309 37.164 0.1 152 44022 20238 79738 79738
10.34465  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 37.420 0.1 148 55078 20372 79889 79889
10.34452  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 37.665 0.1 152 46681 20138 79416 79416
10.34438  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 37.920 0.1 155 32796 19993 78604 78604
10.34425  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 38.339 0.1 163 14901 18020 73831 73831
10.34412  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 38.584 0.1 171 2628 14114 64954 64954
10.34398  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172309 38.839 0.1 178 184 7866 50228 50228
10.34385  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 39.251 0.1 188 21 1 30591 30591
10.34372  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 39.510 0.1 194 6 1 12188 12188
10.34358  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 39.770 0.1 197 3 1 4630 4630
10.34345  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172309 40.035 0.1 198 3 1 2681 2681
10.34332  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172309 40.452 0.1 198 2 1 1244 1244
10.34318  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 40.704 0.1 199 2 1 644 644
10.34305  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 40.953 0.1 198 2 1 473 473
10.34292  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 41.369 0.1 199 2 1 344 344
10.34278  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172309 41.621 0.1 198 2 1 232 232
10.34265  0.000 18.476 10.318091 1 5 481662 0.000481658 1e+07 1e+09 18.172565 41.867 0.1 199 2 1 159 159
#C Wed Feb 03 16:52:14 2016.  setting motor mr to 10.3446.
#C Wed Feb 03 16:52:14 2016.  tuning USAXS motor m2rp.

#S 2  ascan  m2rp 7.295 6.295  20 0.05
#D Wed Feb 03 16:52:16 2016
#T 0.05  (seconds)
#G0 0
#G1 0
#G3 0
#G4 0
#Q 
#P0 -22.29064 20 -3.90625e-05 -4 -48 -0.1 210 17.075
#P1 5.894899e-07 5.00006 -22.7 6.93867 0 -35 -1.2485 -0.407
#P2 12.5 0 67.53375 26.355 7.4e-05 8e-06 0.8001865 1.499983
#P3 -0.001041 30.00124 1.1 -1.1 0.6 -0.6 0.000245 260
#P4 3.5425 6.795 7.7025 5.005 10.34464 0 0 0
#P5 7.6 17.17188 -8.67896 -0.351 10.318091 0 18.475664 0
#P6 0 0 0 0 0 18 
#C tuning USAXS motor m2rp
#V0 102.194 0 1 0 1 1 1 1 981.668
#V1 -0.0201807 0.110739 28.0852 11.7113 0 0 0 0.000854549 0.00175667
#V2 1.83682 -2.97357 -111.23 153.281
#V3 18 0.688801 18.1723 1 0.2 10.4046 10.318091
#V4 10.3446 10.3181 5.00486 7.70323 0 0
#V5 10000000 1000000000
#V6 0 0 100000 1.0e+04 1 5.5
#V7 1.0e+04 5 0
#V8 1.0e+06 5 0
#V9 1.0e+08 5 0
#V10 1.0e+10 5 0
#V11 1.0e+12 5 0
#V12 1 10.3181 207 880 0 35.81
#V13 67.5337 18.4757 1 
#V14 1 9.64929 3 2999962 1000000000 2193185 10000000
#N 18
#L USAXS.m2rp    ay  dy  ar_enc  pd_range  pd_counts  pd_rate  pd_curent  I0_gain  I00_gain  Und_E  Epoch  seconds  I00  USAXS_PD  TR_diode  I0  I0
7.295  0.000 18.476 10.318091 1 5 537525 0.00053752 1e+07 1e+09 18.172565 44.968 0.05 100 24 1 600 600
7.245  0.000 18.476 10.318091 1 5 537525 0.00053752 1e+07 1e+09 18.172565 45.267 0.05 99 33 1 801 801
7.195  0.000 18.476 10.318091 1 5 537525 0.00053752 1e+07 1e+09 18.172309 45.566 0.05 99 55 1 1227 1227
7.145  0.000 18.476 10.318091 1 5 537525 0.00053752 1e+07 1e+09 18.172309 45.868 0.05 99 96 1 2004 2004
7.095  0.000 18.476 10.318091 1 5 537525 0.00053752 1e+07 1e+09 18.172565 46.162 0.05 99 177 1 3610 3610
7.045  0.000 18.476 10.318091 1 5 537525 0.00053752 1e+07 1e+09 18.172309 46.367 0.05 96 312 1 6627 6627
6.995  0.000 18.476 10.318091 1 5 537525 0.00053752 1e+07 1e+09 18.172565 46.585 0.05 94 532 1 13670 13670
6.945  0.000 18.476 10.318091 1 5 537525 0.00053752 1e+07 1e+09 18.172565 46.889 0.05 91 1424 2657 21980 21980
